RunId,iteration,seed,completed,time_to_clear_all_waste,final_time,final_system_waste_total,width,height,n_waste,n_green_robots,n_yellow_robots,n_red_robots
193,4,,True,4045.0,9999.0,0.0,20,10,24,1,1,2
194,4,,True,2665.0,9999.0,0.0,20,10,24,1,2,1
195,4,,True,3571.0,9999.0,0.0,20,10,24,1,2,2
196,4,,True,5941.0,9999.0,0.0,20,10,24,2,1,1
197,4,,True,4259.0,9999.0,0.0,20,10,24,2,1,2
198,4,,False,,9999.0,2.0,20,10,24,2,2,1
199,4,,False,,9999.0,3.0,20,10,24,2,2,2
200,4,,False,,9999.0,3.0,20,10,24,3,1,1
201,4,,False,,9999.0,3.0,20,10,24,3,1,2
202,4,,False,,9999.0,3.0,20,10,24,3,2,1
203,4,,True,3979.0,9999.0,0.0,20,10,24,3,2,2
204,4,,False,,9999.0,3.0,20,10,24,4,1,1
205,4,,False,,9999.0,4.0,20,10,24,4,1,2
206,4,,False,,9999.0,3.0,20,10,24,4,2,1
207,4,,False,,9999.0,3.0,20,10,24,4,2,2
208,4,,True,7633.0,9999.0,0.0,20,10,28,1,1,1
209,4,,True,3433.0,9999.0,0.0,20,10,28,1,1,2
210,4,,False,,9999.0,2.0,20,10,28,1,2,1
211,4,,False,,9999.0,2.0,20,10,28,1,2,2
212,4,,False,,9999.0,3.0,20,10,28,2,1,1
213,4,,False,,9999.0,3.0,20,10,28,2,1,2
214,4,,True,3091.0,9999.0,0.0,20,10,28,2,2,1
215,4,,True,2559.0,9999.0,0.0,20,10,28,2,2,2
216,4,,False,,9999.0,3.0,20,10,28,3,1,1
217,4,,False,,9999.0,3.0,20,10,28,3,1,2
218,4,,False,,9999.0,2.0,20,10,28,3,2,1
219,4,,True,6007.0,9999.0,0.0,20,10,28,3,2,2
220,4,,True,4419.0,9999.0,0.0,20,10,28,4,1,1
221,4,,False,,9999.0,3.0,20,10,28,4,1,2
222,4,,False,,9999.0,2.0,20,10,28,4,2,1
223,4,,False,,9999.0,3.0,20,10,28,4,2,2
224,4,,True,7597.0,9999.0,0.0,20,10,32,1,1,1
225,4,,True,5321.0,9999.0,0.0,20,10,32,1,1,2
226,4,,True,3785.0,9999.0,0.0,20,10,32,1,2,1
227,4,,True,2863.0,9999.0,0.0,20,10,32,1,2,2
228,4,,True,7293.0,9999.0,0.0,20,10,32,2,1,1
229,4,,False,,9999.0,3.0,20,10,32,2,1,2
230,4,,False,,9999.0,3.0,20,10,32,2,2,1
231,4,,True,2891.0,9999.0,0.0,20,10,32,2,2,2
232,4,,True,4659.0,9999.0,0.0,20,10,32,3,1,1
233,4,,False,,9999.0,3.0,20,10,32,3,1,2
234,4,,True,6299.0,9999.0,0.0,20,10,32,3,2,1
235,4,,False,,9999.0,3.0,20,10,32,3,2,2
236,4,,False,,9999.0,3.0,20,10,32,4,1,1
237,4,,True,3175.0,9999.0,0.0,20,10,32,4,1,2
238,4,,True,5895.0,9999.0,0.0,20,10,32,4,2,1
239,4,,False,,9999.0,3.0,20,10,32,4,2,2
